iter	Passed	Remaining
195	3839	15749
196	3856	15721
197	3874	15692
198	3898	15691
199	3915	15661
200	3931	15628
201	3949	15602
202	3968	15582
203	3986	15553
204	4002	15522
205	4024	15511
206	4042	15486
207	4060	15461
208	4079	15440
209	4096	15412
210	4115	15388
211	4137	15378
212	4156	15357
213	4173	15329
214	4190	15300
215	4208	15275
216	4228	15256
217	4244	15224
218	4262	15201
219	4279	15172
220	4296	15143
221	4312	15111
222	4328	15080
223	4343	15047
224	4360	15019
225	4380	15000
226	4397	14973
227	4414	14946
228	4431	14920
229	4450	14900
230	4469	14878
231	4484	14846
232	4501	14817
233	4518	14792
234	4538	14775
235	4556	14750
236	4575	14731
237	4593	14707
238	4610	14680
239	4630	14662
240	4651	14649
241	4667	14621
242	4683	14591
243	4699	14561
244	4716	14533
245	4732	14504
246	4752	14488
247	4770	14464
248	4785	14434
249	4802	14407
250	4823	14394
251	4838	14363
252	4854	14333
253	4870	14305
254	4888	14283
255	4911	14274
256	4929	14252
257	4946	14226
258	4963	14199
259	4981	14178
260	5000	14158
261	5018	14134
262	5036	14114
263	5054	14090
264	5070	14063
265	5088	14040
266	5106	14018
267	5123	13993
268	5139	13966
269	5156	13940
270	5174	13919
271	5192	13898
272	5210	13876
273	5227	13851
274	5244	13826
275	5262	13805
276	5281	13785
277	5296	13756
278	5313	13731
279	5333	13715
280	5352	13694
281	5368	13669
282	5385	13645
283	5404	13624
284	5419	13597
285	5436	13573
286	5452	13546
287	5468	13519
288	5485	13495
289	5502	13471
290	5518	13445
291	5536	13425
292	5554	13402
293	5571	13379
294	5590	13360
295	5610	13343
296	5628	13322
297	5647	13302
298	5665	13282
299	5683	13260
300	5701	13239
301	5718	13216
302	5739	13202
303	5757	13180
304	5773	13155
305	5791	13135
306	5809	13112
307	5823	13084
308	5840	13061
309	5858	13040
310	5875	13017
311	5892	12994
312	5909	12971
313	5925	12944
314	5940	12918
315	5961	12903
316	5975	12874
317	5991	12848
318	6006	12821
319	6023	12799
320	6039	12774
321	6059	12759
322	6076	12735
323	6092	12710
324	6115	12700
325	6132	12678
326	6148	12654
327	6168	12638
328	6186	12616
329	6207	12602
330	6224	12580
331	6243	12561
332	6259	12538
333	6277	12517
334	6297	12500
335	6320	12491
336	6341	12476
337	6360	12457
338	6378	12437
339	6396	12416
340	6412	12393
341	6429	12370
342	6448	12351
343	6468	12335
344	6487	12316
345	6511	12306
346	6530	12290
347	6549	12270
348	6570	12256
349	6588	12235
350	6603	12209
351	6620	12187
352	6637	12165
353	6652	12140
354	6669	12117
355	6686	12096
356	6704	12075
357	6722	12054
358	6738	12032
359	6757	12013
360	6774	11991
361	6792	11970
362	6809	11950
363	6825	11926
364	6846	11911
365	6863	11889
366	6881	11868
367	6899	11848
368	6915	11825
369	6932	11803
370	6953	11789
371	6971	11769
372	6989	11748
373	7004	11724
374	7023	11706
375	7042	11687
376	7059	11665
377	7075	11642
378	7093	11623
379	7110	11600
380	7127	11579
381	7144	11558
382	7161	11536
383	7181	11520
384	7197	11496
385	7212	11473
386	7228	11450
387	7246	11429
388	7261	11406
389	7278	11383
390	7293	11359
391	7309	11336
392	7326	11315
393	7342	11293
394	7358	11271
395	7375	11249
396	7397	11235
397	7414	11215
398	7432	11195
399	7454	11181
400	7474	11164
401	7495	11149
402	7515	11133
403	7532	11112
404	7550	11092
405	7568	11072
406	7585	11052
407	7603	11031
408	7625	11018
409	7642	10997
410	7659	10976
411	7679	10959
412	7696	10939
413	7714	10918
414	7733	10901
415	7751	10881
416	7776	10872
417	7798	10858
418	7817	10839
419	7834	10819
420	7858	10807
421	7876	10788
422	7895	10769
423	7911	10747
424	7927	10725
425	7945	10705
426	7960	10682
427	7976	10660
428	7992	10638
429	8009	10616
430	8026	10596
431	8043	10575
432	8059	10553
433	8075	10532
434	8093	10512
435	8110	10491
436	8128	10472
437	8144	10450
438	8161	10429
439	8179	10409
440	8195	10388
441	8213	10368
442	8234	10353
443	8251	10332
444	8268	10311
445	8286	10293
446	8305	10274
447	8322	10254
448	8341	10236
449	8358	10215
450	8380	10201
451	8397	10180
452	8412	10158
453	8429	10138
454	8446	10117
455	8462	10095
456	8480	10076
457	8498	10057
458	8518	10040
459	8537	10022
460	8556	10003
461	8573	9984
462	8594	9968
463	8613	9949
464	8632	9931
465	8651	9914
466	8670	9896
467	8687	9875
468	8704	9854
469	8724	9838
470	8742	9819
471	8762	9801
472	8781	9784
473	8799	9765
474	8817	9745
475	8838	9729
476	8855	9709
477	8870	9687
478	8890	9669
479	8907	9649
480	8926	9631
481	8951	9619
482	8970	9601
483	8991	9585
484	9009	9567
485	9027	9547
486	9050	9533
487	9068	9514
488	9087	9496
489	9105	9477
490	9123	9458
491	9141	9439
492	9160	9420
493	9181	9405
494	9202	9388
495	9221	9370
496	9240	9351
497	9258	9333
498	9277	9314
499	9298	9298
500	9317	9280
501	9334	9259
502	9351	9239
503	9367	9218
504	9383	9197
505	9401	9178
506	9423	9163
507	9442	9144
508	9458	9123
509	9473	9102
510	9490	9081
511	9509	9063
512	9526	9043
513	9544	9024
514	9566	9008
515	9584	8990
516	9602	8970
517	9618	8950
518	9641	8935
519	9659	8916
520	9678	8898
521	9699	8882
522	9720	8865
523	9739	8847
524	9757	8827
525	9777	8810
526	9794	8790
527	9812	8771
528	9832	8754
529	9852	8737
530	9869	8717
531	9886	8697
532	9904	8677
533	9921	8658
534	9941	8641
535	9958	8620
536	9979	8604
537	9996	8584
538	10012	8563
539	10030	8544
540	10051	8527
541	10068	8508
542	10086	8489
543	10108	8472
544	10127	8454
545	10143	8434
546	10159	8413
547	10175	8393
548	10190	8371
549	10211	8354
550	10228	8334
551	10245	8314
552	10262	8295
553	10279	8275
554	10296	8255
555	10313	8236
556	10332	8217
557	10352	8200
558	10369	8180
559	10385	8159
560	10402	8140
561	10418	8119
562	10441	8104
563	10456	8083
564	10474	8064
565	10490	8044
566	10506	8023
567	10524	8004
568	10543	7986
569	10560	7966
570	10576	7946
571	10593	7926
572	10609	7905
573	10627	7887
574	10645	7868
575	10663	7849
576	10681	7830
577	10703	7814
578	10720	7795
579	10746	7781
580	10762	7761
581	10777	7740
582	10799	7724
583	10817	7705
584	10833	7685
585	10851	7666
586	10875	7651
587	10891	7631
588	10907	7611
589	10923	7590
590	10938	7569
591	10956	7551
592	10977	7534
593	10993	7513
594	11013	7496
595	11030	7477
596	11047	7457
597	11063	7437
598	11081	7418
599	11105	7403
600	11123	7384
601	11140	7365
602	11159	7347
603	11176	7327
604	11194	7308
605	11213	7290
606	11233	7272
607	11251	7253
608	11273	7238
609	11290	7218
610	11305	7198
611	11323	7178
612	11341	7160
613	11357	7139
614	11375	7121
615	11391	7101
616	11408	7081
617	11425	7062
618	11443	7043
619	11460	7023
620	11478	7005
621	11494	6985
622	11511	6965
623	11528	6946
624	11545	6927
625	11563	6908
626	11579	6888
627	11597	6869
628	11619	6853
629	11643	6838
630	11660	6819
631	11677	6799
632	11693	6779
633	11714	6762
634	11732	6743
635	11747	6723
636	11765	6704
637	11784	6686
638	11806	6669
639	11823	6650
640	11840	6631
641	11862	6614
642	11881	6596
643	11899	6578
644	11918	6559
645	11936	6540
646	11953	6521
647	11971	6502
648	11993	6486
649	12010	6467
650	12029	6449
651	12047	6430
652	12069	6413
653	12088	6395
654	12107	6377
655	12130	6360
656	12148	6342
657	12167	6324
658	12187	6306
659	12204	6287
660	12226	6270
661	12247	6253
662	12265	6234
663	12283	6215
664	12303	6197
665	12320	6178
666	12340	6160
667	12358	6142
668	12380	6125
669	12397	6106
670	12416	6087
671	12435	6069
672	12456	6052
673	12476	6034
674	12494	6015
675	12512	5997
676	12528	5977
677	12551	5960
678	12568	5941
679	12584	5922
680	12604	5904
681	12621	5885
682	12641	5867
683	12659	5848
684	12676	5829
685	12700	5813
686	12720	5795
687	12739	5777
688	12762	5760
689	12782	5742
690	12805	5726
691	12823	5707
692	12840	5688
693	12860	5670
694	12879	5652
695	12900	5634
696	12918	5615
697	12935	5596
698	12951	5577
699	12972	5559
700	12989	5540
701	13011	5523
702	13027	5503
703	13043	5484
704	13060	5464
705	13084	5448
706	13104	5431
707	13125	5413
708	13145	5395
709	13163	5376
710	13181	5357
711	13200	5339
712	13220	5321
713	13244	5305
714	13261	5286
715	13278	5266
716	13295	5247
717	13311	5228
718	13333	5210
719	13349	5191
720	13365	5171
721	13388	5155
722	13404	5135
723	13420	5115
724	13442	5099
725	13459	5079
726	13477	5061
727	13497	5043
728	13514	5023
729	13531	5004
730	13548	4985
731	13564	4966
732	13583	4947
733	13601	4929
734	13618	4910
735	13642	4893
736	13659	4874
737	13677	4855
738	13701	4838
739	13719	4820
740	13740	4802
741	13761	4785
742	13778	4766
743	13795	4746
744	13816	4728
745	13833	4709
746	13851	4691
747	13873	4674
748	13890	4655
749	13910	4636
750	13927	4617
751	13946	4599
752	13966	4581
753	13983	4562
754	14000	4543
755	14016	4523
756	14036	4505
757	14053	4486
758	14075	4469
759	14092	4450
760	14112	4432
761	14128	4412
762	14146	4394
763	14162	4374
764	14179	4355
765	14197	4336
766	14216	4318
767	14233	4299
768	14252	4281
769	14268	4262
770	14288	4243
771	14306	4225
772	14324	4206
773	14341	4187
774	14360	4169
775	14379	4150
776	14397	4131
777	14417	4114
778	14437	4095
779	14455	4077
780	14473	4058
781	14496	4041
782	14513	4022
783	14529	4003
784	14546	3984
785	14567	3966
786	14587	3948
787	14605	3929
788	14625	3911
789	14642	3892
790	14658	3873
791	14682	3856
792	14701	3837
793	14718	3818
794	14736	3799
795	14752	3780
796	14770	3762
797	14788	3743
798	14809	3725
799	14826	3706
800	14846	3688
801	14865	3669
802	14882	3651
803	14903	3633
804	14921	3614
805	14940	3596
806	14957	3577
807	14974	3558
808	14993	3539
809	15011	3521
810	15029	3502
811	15045	3483
812	15062	3464
813	15078	3445
814	15096	3426
815	15118	3409
816	15136	3390
817	15155	3372
818	15174	3353
819	15193	3335
820	15209	3316
821	15226	3297
822	15242	3278
823	15265	3260
824	15281	3241
825	15297	3222
826	15321	3205
827	15340	3186
828	15357	3167
829	15375	3149
830	15393	3130
831	15409	3111
832	15427	3092
833	15445	3074
834	15463	3055
835	15482	3037
836	15508	3020
837	15531	3002
838	15552	2984
839	15574	2966
840	15594	2948
841	15620	2931
842	15638	2912
843	15666	2895
844	15687	2877
845	15704	2858
846	15719	2839
847	15737	2820
848	15758	2802
849	15777	2784
850	15795	2765
851	15814	2747
852	15841	2730
853	15866	2712
854	15888	2694
855	15909	2676
856	15925	2657
857	15947	2639
858	15965	2620
859	15980	2601
860	16001	2583
861	16017	2564
862	16034	2545
863	16056	2527
864	16074	2508
865	16092	2490
866	16110	2471
867	16132	2453
868	16149	2434
869	16167	2415
870	16182	2396
871	16199	2377
872	16220	2359
873	16237	2340
874	16254	2322
875	16275	2303
876	16293	2285
877	16324	2268
878	16351	2250
879	16379	2233
880	16399	2215
881	16421	2196
882	16439	2178
883	16457	2159
884	16480	2141
885	16496	2122
886	16512	2103
887	16534	2085
888	16551	2066
889	16568	2047
890	16588	2029
891	16604	2010
892	16620	1991
893	16642	1973
894	16662	1954
895	16679	1936
896	16699	1917
897	16716	1898
898	16732	1879
899	16750	1861
900	16769	1842
901	16788	1824
902	16807	1805
903	16823	1786
904	16840	1767
905	16863	1749
906	16880	1730
907	16898	1712
908	16915	1693
909	16933	1674
910	16950	1655
911	16967	1637
912	16987	1618
913	17004	1599
914	17023	1581
915	17040	1562
916	17057	1543
917	17074	1525
918	17091	1506
919	17114	1488
920	17132	1469
921	17151	1451
922	17173	1432
923	17192	1414
924	17210	1395
925	17231	1377
926	17249	1358
927	17266	1339
928	17285	1321
929	17303	1302
930	17321	1283
931	17340	1265
932	17357	1246
933	17374	1227
934	17391	1209
935	17410	1190
936	17432	1172
937	17450	1153
938	17466	1134
939	17484	1116
940	17502	1097
941	17520	1078
942	17537	1060
943	17557	1041
944	17580	1023
945	17601	1004
946	17619	986
947	17649	968
948	17670	949
949	17688	930
950	17708	912
951	17728	893
952	17745	875
953	17765	856
954	17783	837
955	17800	819
956	17821	800
957	17840	782
958	17859	763
959	17877	744
960	17894	726
961	17912	707
962	17930	688
963	17947	670
964	17964	651
965	17987	633
966	18005	614
967	18022	595
968	18042	577
969	18062	558
970	18080	539
971	18098	521
972	18119	502
973	18137	484
974	18154	465
975	18172	446
976	18189	428
977	18210	409
978	18228	391
979	18244	372
980	18262	353
981	18282	335
982	18299	316
983	18319	297
984	18336	279
985	18356	260
986	18376	242
987	18393	223
988	18411	204
989	18429	186
990	18447	167
991	18463	148
992	18480	130
993	18496	111
994	18512	93
995	18529	74
996	18548	55
997	18566	37
998	18582	18
999	18599	0
